base_verb,english_meaning,ana,ni7na,inta,inte,into,huwe,hiyye,hinne
llevar,to carry/wear,llevo,llevamos,llevas,llevas,llevan,lleva,lleva,llevan
lograr,to achieve/manage to,logro,logramos,logras,logras,logran,logra,logra,logran
mantener,to maintain/keep,mantengo,mantenemos,mantienes,mantienes,mantienen,mantiene,mantiene,mantienen
mirar,to look/watch,miro,miramos,miras,miras,miran,mira,mira,miran
morir,to die,muero,morimos,mueres,mueres,mueren,muere,muere,mueren
nacer,to be born,nazco,nacemos,naces,naces,nacen,nace,nace,nacen
necesitar,to need,necesito,necesitamos,necesitas,necesitas,necesitan,necesita,necesita,necesitan
ocurrir,to occur/happen,ocurro,ocurrimos,ocurres,ocurres,ocurren,ocurre,ocurre,ocurren
ofrecer,to offer,ofrezco,ofrecemos,ofreces,ofreces,ofrecen,ofrece,ofrece,ofrecen
oír,to hear,oigo,oímos,oyes,oyes,oyen,oye,oye,oyen
pagar,to pay,pago,pagamos,pagas,pagas,pagan,paga,paga,pagan
parar,to stop,paro,paramos,paras,paras,paran,para,para,paran
parecer,to seem,parezco,parecemos,pareces,pareces,parecen,parece,parece,parecen
partir,to leave/depart,parto,partimos,partes,partes,parten,parte,parte,parten
pasar,to happen/pass,paso,pasamos,pasas,pasas,pasan,pasa,pasa,pasan
pedir,to ask for/order,pido,pedimos,pides,pides,piden,pide,pide,piden
perder,to lose,pierdo,perdemos,pierdes,pierdes,pierden,pierde,pierde,pierden
permitir,to allow,permito,permitimos,permites,permites,permiten,permite,permite,permiten
poder,to be able to/can,puedo,podemos,puedes,puedes,pueden,puede,puede,pueden
poner,to put,pongo,ponemos,pones,pones,ponen,pone,pone,ponen
preguntar,to ask,pregunto,preguntamos,preguntas,preguntas,preguntan,pregunta,pregunta,preguntan
presentar,to present/introduce,presento,presentamos,presentas,presentas,presentan,presenta,presenta,presentan
producir,to produce,produzco,producimos,produces,produces,producen,produce,produce,producen
quedar,to stay/remain,quedo,quedamos,quedas,quedas,quedan,queda,queda,quedan
querer,to want/love,quiero,queremos,quieres,quieres,quieren,quiere,quiere,quieren
realizar,to carry out/achieve,realizo,realizamos,realizas,realizas,realizan,realiza,realiza,realizan
recibir,to receive,recibo,recibimos,recibes,recibes,reciben,recibe,recibe,reciben
reconocer,to recognize,reconozco,reconocemos,reconoces,reconoces,reconocen,reconoce,reconoce,reconocen
recordar,to remember,recuerdo,recordamos,recuerdas,recuerdas,recuerdan,recuerda,recuerda,recuerdan
resultar,to turn out/result,resulto,resultamos,resultas,resultas,resultan,resulta,resulta,resultan
saber,to know (a fact/how to),sé,sabemos,sabes,sabes,saben,sabe,sabe,saben
sacar,to take out,saco,sacamos,sacas,sacas,sacan,saca,saca,sacan
salir,to go out/leave,salgo,salimos,sales,sales,salen,sale,sale,salen
seguir,to follow/continue,sigo,seguimos,sigues,sigues,siguen,sigue,sigue,siguen
sentir,to feel,siento,sentimos,sientes,sientes,sienten,siente,siente,sienten
ser,to be (permanent),soy,somos,eres,eres,son,es,es,son
servir,to serve,sirvo,servimos,sirves,sirves,sirven,sirve,sirve,sirven
suponer,to suppose,supongo,suponemos,supones,supones,suponen,supone,supone,suponen
tener,to have,tengo,tenemos,tienes,tienes,tienen,tiene,tiene,tienen
terminar,to finish/end,termino,terminamos,terminas,terminas,terminan,termina,termina,terminan
tocar,to touch/play (an instrument),toco,tocamos,tocas,tocas,tocan,toca,toca,tocan
tomar,to take/drink,tomo,tomamos,tomas,tomas,toman,toma,toma,toman
trabajar,to work,trabajo,trabajamos,trabajas,trabajas,trabajan,trabaja,trabaja,trabajan
traer,to bring,traigo,traemos,traes,traes,traen,trae,trae,traen
tratar,to try/treat,trato,tratamos,tratas,tratas,tratan,trata,trata,tratan
utilizar,to use,utilizo,utilizamos,utilizas,utilizas,utilizan,utiliza,utiliza,utilizan
venir,to come,vengo,venimos,vienes,vienes,vienen,viene,viene,vienen
ver,to see,veo,vemos,ves,ves,ven,ve,ve,ven
vivir,to live,vivo,vivimos,vives,vives,viven,vive,vive,viven
volver,to return,vuelvo,volvemos,vuelves,vuelves,vuelven,vuelve,vuelve,vuelven
