italian_word,english_translation
maglietta,t-shirt
pantaloni,pants
gonna,skirt
giacca,jacket
cappotto,coat
scarpe,shoes
calzini,socks
cappello,hat
guanti,gloves
cintura,belt
occhiali,glasses
animale,animal
cane,dog
gatto,cat
cavallo,horse
mucca,cow
maiale,pig
pecora,sheep
gallina,hen
uccello,bird
leone,lion
tigre,tiger
elefante,elephant
serpente,snake
ape,bee
farfalla,butterfly
zanzara,mosquito
ragno,spider
insetto,insect
sole,sun
luna,moon
stella,star
cielo,sky
nuvola,cloud
pioggia,rain
neve,snow
vento,wind
freddo,cold
caldo,hot
mare,sea
montagna,mountain
fiume,river
lago,lake
albero,tree
fiore,flower
terra,earth/land
fuoco,fire
lavoro,job/work
scuola,school
università,university
studente,student
insegnante,teacher
ufficio,office
azienda,company
capo,boss
collega,colleague
progetto,project
compito,homework
esame,exam
lezione,lesson
classe,class
penna,pen
matita,pencil
quaderno,notebook
zaino,backpack
domanda,question
risposta,answer
soldi,money
euro,euro
prezzo,price
negozio,shop
mercato,market
supermercato,supermarket
contanti,cash
sconto,discount
regalo,gift
cliente,customer
scontrino,receipt
gratis,free of charge
caro,expensive
economico,inexpensive
messaggio,message
email,email
internet,internet
sito,website
pagina,page
video,video
musica,music
film,movie
notizia,news
giornale,newspaper
lettera,letter
parola,word
chiamata,call
salute,health
medico,doctor
dottore,doctor
ospedale,hospital
farmacia,pharmacy
medicina,medicine
malattia,illness
dolore,pain
febbre,fever
raffreddore,cold
influenza,flu
città,city
paese,country/town
strada,street
piazza,square
ponte,bridge
stazione,station
aeroporto,airport
chiesa,church
museo,museum
albergo,hotel
banca,bank
parco,park
macchina,car
auto,car
treno,train
autobus,bus
bicicletta,bicycle
aereo,airplane
taxi,taxi
metro,subway
viaggio,trip
biglietto,ticket
valigia,suitcase
passaporto,passport
direzione,direction
indirizzo,address
grande,big
piccolo,small
lungo,long
corto,short
alto,tall
bello,beautiful
brutto,ugly
buono,good
cattivo,bad
nuovo,new
vecchio,old
giovane,young
felice,happy
triste,sad
stanco,tired
occupato,busy
libero,free
facile,easy
difficile,difficult
importante,important
interessante,interesting
divertente,fun
veloce,fast
lento,slow
forte,strong
aperto,open
chiuso,closed
ricco,rich
povero,poor
sicuro,sure/safe
simpatico,likeable
gentile,kind
amore,love
paura,fear
gioia,joy
rabbia,anger
sorpresa,surprise
speranza,hope
coraggio,courage
fiducia,trust
desiderio,desire
emozione,emotion
numero,number
problema,problem
idea,idea
verità,truth
storia,story/history
mondo,world
morte,death
inizio,beginning
fine,end
esempio,example
situazione,situation
momento,moment
esperienza,experience
sogno,dream
vacanza,vacation
gruppo,group
gioco,game
luce,light
