base_verb,english_meaning,ana,ni7na,inta,inte,into,huwe,hiyye,hinne
perdre,to lose,perds,perdons,perds,perds,perdez,perd,perd,perdent
sentir,to feel/to smell,sens,sentons,sens,sens,sentez,sent,sent,sentent
rentrer,to go home,rentre,rentrons,rentres,rentres,rentrez,rentre,rentre,rentrent
vivre,to live,vis,vivons,vis,vis,vivez,vit,vit,vivent
rendre,to give back,rends,rendons,rends,rends,rendez,rend,rend,rendent
oublier,to forget,oublie,oublions,oublies,oublies,oubliez,oublie,oublie,oublient
travailler,to work,travaille,travaillons,travailles,travailles,travaillez,travaille,travaille,travaillent
manger,to eat,mange,mangeons,manges,manges,mangez,mange,mange,mangent
entrer,to enter,entre,entrons,entres,entres,entrez,entre,entre,entrent
devenir,to become,deviens,devenons,deviens,deviens,devenez,devient,devient,deviennent
commencer,to start,commence,commençons,commences,commences,commencez,commence,commence,commencent
payer,to pay,paie,payons,paies,paies,payez,paie,paie,paient
ouvrir,to open,ouvre,ouvrons,ouvres,ouvres,ouvrez,ouvre,ouvre,ouvrent
changer,to change,change,changeons,changes,changes,changez,change,change,changent
dormir,to sleep,dors,dormons,dors,dors,dormez,dort,dort,dorment
marcher,to walk,marche,marchons,marches,marches,marchez,marche,marche,marchent
envoyer,to send,envoie,envoyons,envoies,envoies,envoyez,envoie,envoie,envoient
apprendre,to learn,apprends,apprenons,apprends,apprends,apprenez,apprend,apprend,apprennent
boire,to drink,bois,buvons,bois,bois,buvez,boit,boit,boivent
montrer,to show,montre,montrons,montres,montres,montrez,montre,montre,montrent
porter,to wear/to carry,porte,portons,portes,portes,portez,porte,porte,portent
servir,to serve,sers,servons,sers,sers,servez,sert,sert,servent
écrire,to write,écris,écrivons,écris,écris,écrivez,écrit,écrit,écrivent
gagner,to win/to earn,gagne,gagnons,gagnes,gagnes,gagnez,gagne,gagne,gagnent
acheter,to buy,achète,achetons,achètes,achètes,achetez,achète,achète,achètent
lire,to read,lis,lisons,lis,lis,lisez,lit,lit,lisent
monter,to go up,monte,montons,montes,montes,montez,monte,monte,montent
quitter,to leave,quitte,quittons,quittes,quittes,quittez,quitte,quitte,quittent
continuer,to continue,continue,continuons,continues,continues,continuez,continue,continue,continuent
répondre,to answer,réponds,répondons,réponds,réponds,répondez,répond,répond,répondent
rencontrer,to meet,rencontre,rencontrons,rencontres,rencontres,rencontrez,rencontre,rencontre,rencontrent
fermer,to close,ferme,fermons,fermes,fermes,fermez,ferme,ferme,ferment
apporter,to bring,apporte,apportons,apportes,apportes,apportez,apporte,apporte,apportent
décider,to decide,décide,décidons,décides,décides,décidez,décide,décide,décident
vendre,to sell,vends,vendons,vends,vends,vendez,vend,vend,vendent
expliquer,to explain,explique,expliquons,expliques,expliques,expliquez,explique,explique,expliquent
utiliser,to use,utilise,utilisons,utilises,utilises,utilisez,utilise,utilise,utilisent
recevoir,to receive,reçois,recevons,reçois,reçois,recevez,reçoit,reçoit,reçoivent
préférer,to prefer,préfère,préférons,préfères,préfères,préférez,préfère,préfère,préfèrent
offrir,to offer,offre,offrons,offres,offres,offrez,offre,offre,offrent
préparer,to prepare,prépare,préparons,prépares,prépares,préparez,prépare,prépare,préparent
choisir,to choose,choisis,choisissons,choisis,choisis,choisissez,choisit,choisit,choisissent
conduire,to drive,conduis,conduisons,conduis,conduis,conduisez,conduit,conduit,conduisent
chanter,to sing,chante,chantons,chantes,chantes,chantez,chante,chante,chantent
présenter,to introduce,présente,présentons,présentes,présentes,présentez,présente,présente,présentent
accepter,to accept,accepte,acceptons,acceptes,acceptes,acceptez,accepte,accepte,acceptent
refuser,to refuse,refuse,refusons,refuses,refuses,refusez,refuse,refuse,refusent
rire,to laugh,ris,rions,ris,ris,riez,rit,rit,rient
inviter,to invite,invite,invitons,invites,invites,invitez,invite,invite,invitent
arriver,to arrive,arrive,arrivons,arrives,arrives,arrivez,arrive,arrive,arrivent
rester,to stay,reste,restons,restes,restes,restez,reste,reste,restent
arrêter,to stop,arrête,arrêtons,arrêtes,arrêtes,arrêtez,arrête,arrête,arrêtent
suivre,to follow,suis,suivons,suis,suis,suivez,suit,suit,suivent
attendre,to wait,attends,attendons,attends,attends,attendez,attend,attend,attendent
laisser,to let/to leave,laisse,laissons,laisses,laisses,laissez,laisse,laisse,laissent
appeler,to call,appelle,appelons,appelles,appelles,appelez,appelle,appelle,appellent
partir,to leave,pars,partons,pars,pars,partez,part,part,partent
mettre,to put,mets,mettons,mets,mets,mettez,met,met,mettent
courir,to run,cours,courons,cours,cours,courez,court,court,courent
voyager,to travel,voyage,voyageons,voyages,voyages,voyagez,voyage,voyage,voyagent
regarder,to watch/to look at,regarde,regardons,regardes,regardes,regardez,regarde,regarde,regardent
écouter,to listen,écoute,écoutons,écoutes,écoutes,écoutez,écoute,écoute,écoutent
aimer,to like/to love,aime,aimons,aimes,aimes,aimez,aime,aime,aiment
adorer,to adore,adore,adorons,adores,adores,adorez,adore,adore,adorent
détester,to hate,déteste,détestons,détestes,détestes,détestez,déteste,déteste,détestent
espérer,to hope,espère,espérons,espères,espères,espérez,espère,espère,espèrent
sourire,to smile,souris,sourions,souris,souris,souriez,sourit,sourit,sourient
pleurer,to cry,pleure,pleurons,pleures,pleures,pleurez,pleure,pleure,pleurent
danser,to dance,danse,dansons,danses,danses,dansez,danse,danse,dansent
nager,to swim,nage,nageons,nages,nages,nagez,nage,nage,nagent
tomber,to fall,tombe,tombons,tombes,tombes,tombez,tombe,tombe,tombent
descendre,to go down,descends,descendons,descends,descends,descendez,descend,descend,descendent
étudier,to study,étudie,étudions,étudies,étudies,étudiez,étudie,étudie,étudient
habiter,to live/to reside,habite,habitons,habites,habites,habitez,habite,habite,habitent
visiter,to visit,visite,visitons,visites,visites,visitez,visite,visite,visitent
coûter,to cost,coûte,coûtons,coûtes,coûtes,coûtez,coûte,coûte,coûtent
lever,to get up/to raise,lève,levons,lèves,lèves,levez,lève,lève,lèvent
nettoyer,to clean,nettoie,nettoyons,nettoies,nettoies,nettoyez,nettoie,nettoie,nettoient
