arabizi_word,english_translation
Zukunft,future
planen,to plan
Spiel,game
sieben,seven
neun,nine
elf,eleven
zwölf,twelve
zwanzig,twenty
dreißig,thirty
vierzig,forty
fünfzig,fifty
hundert,hundred
tausend,thousand
hallo,hello
tschüss,bye
bitte,please/you're welcome
danke,thank you
Entschuldigung,excuse me/sorry
Guten Morgen,good morning
Guten Tag,good day/hello
Guten Abend,good evening
Gute Nacht,good night
Auf Wiedersehen,goodbye
Montag,Monday
Dienstag,Tuesday
Mittwoch,Wednesday
Donnerstag,Thursday
Freitag,Friday
Samstag,Saturday
Sonntag,Sunday
Januar,January
Februar,February
März,March
April,April
Mai,May
Juni,June
Juli,July
August,August
September,September
Oktober,October
November,November
Dezember,December
Frühling,spring
Sommer,summer
Herbst,autumn/fall
Winter,winter
Wochenende,weekend
morgen,tomorrow
gestern,yesterday
Mittag,noon
Feiertag,holiday
Großmutter,grandmother
Großvater,grandfather
Oma,grandma
Opa,grandpa
Onkel,uncle
Tante,aunt
Bruder,brother
Schwester,sister
Tochter,daughter
Baby,baby
Ehemann,husband
Ehefrau,wife
Nachbar,neighbor
Freundin,girlfriend/female friend
Brot,bread
Milch,milk
Kaffee,coffee
Tee,tea
Saft,juice
Bier,beer
Wein,wine
Apfel,apple
Banane,banana
Kartoffel,potato
Tomate,tomato
Fleisch,meat
Fisch,fish
Huhn,chicken
Ei,egg
Käse,cheese
Butter,butter
Zucker,sugar
Salz,salt
Reis,rice
Suppe,soup
Salat,salad
Kuchen,cake
Obst,fruit
Gemüse,vegetables
Frühstück,breakfast
Mittagessen,lunch
Abendessen,dinner
Restaurant,restaurant
Küche,kitchen
Teller,plate
Tasse,cup
Messer,knife
Gabel,fork
Löffel,spoon
Glas,glass
essen,to eat
trinken,to drink
kochen,to cook
Zimmer,room
Schlafzimmer,bedroom
Badezimmer,bathroom
Wohnzimmer,living room
Fenster,window
Wand,wall
Dach,roof
Stuhl,chair
Bett,bed
Sofa,sofa
Schrank,closet/cabinet
Lampe,lamp
Spiegel,mirror
Garten,garden
Schlüssel,key
Adresse,address
Keller,basement
Universität,university
Student,university student
Büro,office
Firma,company
Chef,boss
Heft,notebook
Stift,pen
Bleistift,pencil
Papier,paper
Computer,computer
Handy,cell phone
Prüfung,exam
Hausaufgabe,homework
Klasse,class
Unterricht,lesson/class
Termin,appointment
Wetter,weather
Sonne,sun
Regen,rain
Schnee,snow
Wind,wind
Wolke,cloud
Himmel,sky
Sturm,storm
warm,warm
kalt,cold
heiß,hot
kühl,cool
Baum,tree
Blume,flower
Berg,mountain
Fluss,river
See,lake
Meer,sea
Wald,forest
Feld,field
Kopfschmerzen,headache
Haar,hair
Ohr,ear
Nase,nose
Mund,mouth
Zahn,tooth
Hals,neck
Schulter,shoulder
Arm,arm
Finger,finger
Bein,leg
Fuß,foot
Bauch,stomach/belly
Rücken,back
Herz,heart
Knie,knee
blau,blue
grün,green
gelb,yellow
weiß,white
braun,brown
grau,gray
orange,orange (color)
rosa,pink
hässlich,ugly
langsam,slow
teuer,expensive
billig,cheap
schwach,weak
glücklich,happy
traurig,sad
müde,tired
krank,sick
gesund,healthy
hungrig,hungry
durstig,thirsty
laut,loud
leise,quiet
leer,empty
sauber,clean
schmutzig,dirty
falsch,wrong
interessant,interesting
langweilig,boring
lustig,funny
nett,nice/kind
freundlich,friendly
böse,angry/mean
Bahnhof,train station
Flughafen,airport
Hotel,hotel
Geschäft,store/shop
Markt,market
Bank,bank
Krankenhaus,hospital
Park,park
Kirche,church
Museum,museum
Bibliothek,library
Apotheke,pharmacy
Supermarkt,supermarket
Bäckerei,bakery
Bus,bus
Zug,train
Fahrrad,bicycle
Taxi,taxi
Flugzeug,airplane
Schiff,ship
reisen,to travel
besuchen,to visit
ankommen,to arrive
abfahren,to depart
einsteigen,to get in/board
aussteigen,to get out/disembark
Kleidung,clothing
Hemd,shirt
Hose,pants
Rock,skirt
Kleid,dress
Jacke,jacket
Mantel,coat
Schuh,shoe
Socke,sock
Hut,hat
Handschuh,glove
Gürtel,belt
Tasche,bag
Hund,dog
Katze,cat
Vogel,bird
Pferd,horse
Kuh,cow
Schwein,pig
Maus,mouse
Löwe,lion
Bär,bear
Hase,rabbit
Schaf,sheep
kaufen,to buy
verkaufen,to sell
bezahlen,to pay
kosten,to cost
Rechnung,bill/invoice
Geschenk,gift
Kasse,cash register/checkout
Satz,sentence
Antwort,answer
Brief,letter
Nachricht,message
Telefon,telephone
Internet,internet
telefonieren,to phone/to call
antworten,to answer
öffnen,to open
lieben,to love
hassen,to hate
lachen,to laugh
weinen,to cry
singen,to sing
tanzen,to dance
schlafen,to sleep
aufstehen,to get up
duschen,to shower
waschen,to wash
putzen,to clean
vergessen,to forget
hoffen,to hope
wünschen,to wish
fliegen,to fly
schwimmen,to swim
springen,to jump
rufen,to call out
schicken,to send
kriegen,to get/receive (informal)
