base_verb,english_meaning,ana,ni7na,inta,inte,into,huwe,hiyye,hinne
tanzen,to dance,tanze,tanzen,tanzt,tanzt,tanzt,tanzt,tanzt,tanzen
schlafen,to sleep,schlafe,schlafen,schläfst,schläfst,schlaft,schläft,schläft,schlafen
aufstehen,to get up,stehe auf,stehen auf,stehst auf,stehst auf,steht auf,steht auf,steht auf,stehen auf
waschen,to wash,wasche,waschen,wäschst,wäschst,wascht,wäscht,wäscht,waschen
putzen,to clean,putze,putzen,putzt,putzt,putzt,putzt,putzt,putzen
vergessen,to forget,vergesse,vergessen,vergisst,vergisst,vergesst,vergisst,vergisst,vergessen
hoffen,to hope,hoffe,hoffen,hoffst,hoffst,hofft,hofft,hofft,hoffen
fliegen,to fly,fliege,fliegen,fliegst,fliegst,fliegt,fliegt,fliegt,fliegen
schwimmen,to swim,schwimme,schwimmen,schwimmst,schwimmst,schwimmt,schwimmt,schwimmt,schwimmen
springen,to jump,springe,springen,springst,springst,springt,springt,springt,springen
rufen,to call out,rufe,rufen,rufst,rufst,ruft,ruft,ruft,rufen
schicken,to send,schicke,schicken,schickst,schickst,schickt,schickt,schickt,schicken
