base_verb,english_meaning,ana,ni7na,inta,inte,into,huwe,hiyye,hinne
be2la2,to worry,be2la2,mne2la2,bte2la2,bte2la2e,bte2la2o,bye2la2,bte2la2,bye2la2o
beke,to cry,bebke,mnebke,btebke,btebke,btebko,byebke,btebke,byebko
beye2,to stay,bib2a,mnib2a,btib2a,btib2e,btib2o,byib2a,btib2a,byib2o
byekhod,to take,bekhod,mnekhod,btekhod,btekhde,btekhdo,byekhod,btekhod,byekhdo
da22,to knock/strike,bde22,mnde22,btde22,btde22e,btde22o,byde22,btde22,byde22o
da3a,to call for,bed3i,mned3i,bted3i,bted3e,bted3o,byed3i,bted3i,byed3o
da77ak,to make laugh,bda77ek,mnda77ek,btda77ek,btda77ke,btda77ko,byda77ek,btda77ek,byda77ko
dabb,to organize/pack,bdebb,mndebb,btdebb,btdebbe,btdebbo,bydebb,btdebb,bydebbo
dabbar,to manage/figure out,bdabber,mndabber,btdabber,btdabbre,btdabbro,bydabber,btdabber,bydabbro
dafa3,to pay,bedfa3,mnedfa3,btedfa3,btedfa3e,btedfa3o,byedfa3,btedfa3,byedfa3o
dahan,to smear/paint,bedhen,mnedhen,btedhen,btedhne,btedhno,byedhen,btedhen,byedhno
dakhal,to enter,bedkhol,mnedkhol,btedkhol,btedkhle,btedkhlo,byedkhol,btedkhol,byedkhlo
dakhan,to smoke,bdakhen,mndakhen,btdakhen,btdakhne,btdakhno,bydakhen,btdakhen,bydakhno
dall,to stay/remain,bdall,mndall,btdall,btdalle,btdallo,bydall,btdall,bydallo
darrab,to train/practice,bdarreb,mndarreb,btdarreb,btdarrbe,btdarrbo,bydarreb,btdarreb,bydarrbo
dawbal,to overtake (vehicle),bdawbel,mndawbel,btdawbel,btdawble,btdawblo,bydawbel,btdawbel,bydawblo
dayya3,to waste/lose,bdayye3,mndayye3,btdayye3,btdayy3e,btdayy3o,bydayye3,btdayye3,bydayy3o
de77ek,to laugh,bde77ek,mnde77ek,btde77ek,btde77ke,btde77ko,byde77ek,btde77ek,byde77ko
defa3,to defend,bdefe3,mndefe3,btdefe3,btdef3e,btdef3o,bydefe3,btdefe3,bydef3o
ekel,to eat,bekol,mnekol,btekol,btekle,bteklo,byekol,btekol,byeklo
ekhtara3,to invent,bekhtere3,mnekhtere3,btekhtere3,btekhter3e,btekhter3o,byekhtere3,btekhtere3,byekhter3o
erte7,to rest/be at ease,berte7,mnerte7,bterte7,btert7e,btert7o,byerte7,bterte7,byert7o
esma3,to listen,besma3,mnesma3,btesma3,btesm3e,btesm3o,byesma3,btesma3,byesm3o
etalla3,to look at,btetalla3,mnetalla3,btetalla3,btetall3e,btetall3o,byetalla3,btetalla3,byetall3o
fakkar,to think,bfakker,mnfakker,btfakker,btfakkre,btfakkro,byfakker,btfakker,byfakkro
fall,to leave,bfell,mnfell,btfell,btfelle,btfello,byfell,btfell,byfello
fara2,to differ/make a difference,bfre2,mnfre2,btfre2,btfr2e,btfr2o,byfre2,btfre2,byfr2o
farja,to show,bfarje,mnfarje,btfarje,btfarje,btfarjo,byfarje,btfarje,byfarjo
fassad,to corrupt,bfassed,mnfassed,btfassed,btfassde,btfassdo,byfassed,btfassed,byfassdo
fattash,to search,bfattesh,mnfattesh,btfattesh,btfattshe,btfattsho,byfattesh,btfattesh,byfattsho
fe2,to wake up,bfi2,mnfi2,btfi2,btfi2e,btfi2o,byfi2,btfi2,byfi2o
ferede,to accept / be content with,berda,mnerda,bterda,bterde,bterdo,byerda,bterda,byerdo
feshel,to fail,befshal,mnefshal,btefshal,btefshale,btefshalo,byefshal,btefshal,byefshalo
fet,to pass/go by,bfit,mnfit,btfit,btfite,btfito,byfit,btfit,byfito
ghanne,to sing,bghanne,mnghanne,btghanne,btghanne,btghanno,byghanne,btghanne,byghanno
ghasal,to wash,bighsol,mnighsol,btighsol,btighsle,btighslo,byighsol,btighsol,byighslo
ghayyar,to change,bghayyer,mnghayyer,btghayyer,btghayyre,btghayyro,byghayyer,btghayyer,byghayyro
gheb,to disappear,bghib,mnghib,btghib,btghibe,btghibo,byghib,btghib,byghibo
ghere2,to drown,bighra2,mnighra2,btighra2,btighra2e,btighra2o,byighra2,btighra2,byighra2o
ha22a2,to achieve,bha22e2,mnha22e2,btha22e2,btha22e2e,btha22e2o,byha22e2,btha22e2,byha22e2o
hadda,to calm,bhadde,mnhadde,bthadde,bthadde,bthaddo,byhadde,bthadde,byhaddo
hajam,to attack,behjom,mnehjom,btehjom,btehjme,btehjmo,byehjom,btehjom,byehjmo
hamma,to concern / matter,bhemm,mnhemm,bthemm,bthemme,bthemmo,byhemm,bthemm,byhemmo
hammal,to hold responsible,bhammel,mnhammel,bthammel,bthammle,bthammlo,byhammel,bthammel,byhammlo
hammas,to toast/roast,bhammes,mnhammes,bthammes,bthammse,bthammso,byhammes,bthammes,byhammso
hasar,to besiege,be7sor,mne7sor,bte7sor,bte7sre,bte7sro,bye7sor,bte7sor,bye7sro
hazzab,to discipline/refine,bhazzeb,mnhazzeb,bthazzeb,bthazzbe,bthazzbo,byhazzeb,bthazzeb,byhazzbo
i3timad,to rely on,bi3temed,mni3temed,bti3temed,bti3temde,bti3temdo,byi3temed,bti3temed,byi3temdo
ija,to come,bije,mnije,btije,btije,btijo,byije,btije,byijo
ikhtafa,to disappear,bikhtfe,mnikhtfe,btikhtfe,btikhtfe,btikhtfo,byikhtfe,btikhtfe,byikhtfo
ikteshaf,to find out/discover,biktshef,mniktshef,btiktshef,btiktshfe,btiktshfo,byiktshef,btiktshef,byiktshfo
iltea7a2,to join,bilta7e2,mnilta7e2,btilta7e2,btilta7e2,btilta7e2o,byilta7e2,btilta7e2,byilta7e2o
in3araf,to be known,bin3iref,mnin3iref,btin3iref,btin3irfe,btin3irfo,byin3iref,btin3iref,byin3irfo
indala3,to break out,bindili3,mnindili3,btindili3,btindil3e,btindil3o,byindili3,btindili3,byindil3o
inhar,to collapse,binher,mninher,btinher,btinhare,btinharo,byinher,btinher,byinharo
irta7,to rest/be at ease,birte7,mnirte7,btirte7,btirte7e,btirte7o,byirte7,btirte7,byirte7o
irtabat,to be linked,birtbet,mnirtbet,btirtbet,btirtbte,btirtbto,byirtbet,btirtbet,byirtbto
ishtara,to buy,beshtre,mneshtre,bteshtre,bteshtre,bteshtro,byeshtre,bteshtre,byeshtro
istalam,to take over/be in charge,bestilem,mnestilem,btestilem,btestilme,btestilmo,byestilem,btestilem,byestilmo
isti3mel,to use,besta3mel,mnesta3mel,btesta3mel,btesta3mle,btesta3mlo,byesta3mel,btesta3mel,byesta3mlo
jammal,to make beautiful,bjammel,mnjammel,btjammel,btjammle,btjammlo,byjammel,btjammel,byjammlo
jana,to harvest/collect,bejne,mnejne,btejne,btejne,btejno,byejne,btejne,byejno
jann,to go crazy,bjenn,mnjenn,btjenn,btjenne,btjenno,byjenn,btjenn,byjenno
jara7,to wound,bejra7,mnejra7,btejra7,btejra7e,btejra7o,byejra7,btejra7,byejra7o
jaweb,to answer,bjeweb,mnjeweb,btjeweb,btjewbe,btjewbo,byjeweb,btjeweb,byjewbo
jeb,to bring,bjib,mnjib,btjib,btjibe,btjibo,byjib,btjib,byjibo
jeweb,to answer,bjeweb,mnjeweb,btjeweb,btjewbe,btjewbo,byjeweb,btjeweb,byjewbo
jeza,to punish/reward,bejze,mnejze,btejze,btejze,btejzo,byejze,btejze,byejzo
kabas,to press,bekbos,mnekbos,btekbos,btekbse,btekbso,byekbos,btekbos,byekbso
kabb,to throw,bkebb,mnkebb,btkebb,btkebbe,btkebbo,bykebb,btkebb,bykebbo
kabbar,to make grow/raise,bkabber,mnkabber,btkabber,btkabbre,btkabbro,bykabber,btkabber,bykabbro
kal,to eat,bekol,mnekol,btekol,btekle,bteklo,byekol,btekol,byeklo
kammal,to continue / complete,bkammel,mnkammel,btkammel,btkammle,btkammlo,bykammel,btkammel,bykammlo
kan,to be (was),bkoun,mnkoun,btkoun,btkoune,btkouno,bykoun,btkoun,bykouno
kasar,to break,beksor,mneksor,bteksor,bteksre,bteksro,byeksor,bteksor,byeksro
keber,to grow/get big,bekbar,mnekbar,btekbar,btekbare,btekbaro,byekbar,btekbar,byekbaro
kemel,to complete/finish,bekmol,mnekmol,btekmol,btekmle,btekmlo,byekmol,btekmol,byekmlo
kezeb,to lie,bekzob,mnekzob,btekzob,btekzbe,btekzbo,byekzob,btekzob,byekzbo
khabbar,to tell/inform,bkhabber,mnkhabber,btkhabber,btkhabbre,btkhabbro,bikhabber,btkhabber,bikhabbro
khaf,to fear,bkhaf,mnkhaf,btkhaf,btkhafe,btkhafo,bikhaf,btkhaf,bikhafo
khaffa,to hide,bkhabbe,mnkhabbe,btkhabbe,btkhabbe,btkhabbo,bikhabbe,btkhabbe,bikhabbo
kharaj,to come out / exit,bekhroj,mnekhroj,btekhroj,btekhroje,btekhrojo,byekhroj,btekhroj,byekhrojo
khawwaf,to scare,bkhawwef,mnkhawwef,btkhawwef,btkhawwfe,btkhawwfo,bykhawwef,btkhawwef,bykhawwfo
khede,to take,bekhod,mnekhod,btekhod,btekhde,btekhdo,byekhod,btekhod,byekhdo
khele2,to be born/create,bekhlo2,mnekhlo2,btekhlo2,btekhel2e,btekhel2o,byekhlo2,btekhlo2,byekhel2o
khelos,to finish/end,bekhlos,mnekhlos,btekhlos,btekhlse,btekhlso,byekhlos,btekhlos,byekhlso
kheser,to lose,bekhsar,mnekhsar,btekhsar,btekhsare,btekhsaro,byekhsar,btekhsar,byekhsaro
khtar,to choose,bekhtar,mnekhtar,btekhtar,btekhtare,btekhtaro,byekhtar,btekhtar,byekhtaro
kireh,to hate,bekrah,mnekrah,btekrah,btekrahe,btekraho,byekrah,btekrah,byekraho
kol,to eat,bekol,mnekol,btekol,btekle,bteklo,byekol,btekol,byeklo
ktab,to write,bektob,mnektob,btektob,btektbe,btektbo,byektob,btektob,byektbo
ktashaf,to find out/discover,bektashef,mnektashef,btektashef,btektashfe,btektashfo,byektashef,btektashef,byektashfo
la77a2,to follow/catch up,bla77e2,mnla77e2,btla77e2,btla77a2e,btla77a2o,byla77e2,btla77e2,byla77a2o
lamm,to collect,blemm,mnlemm,btlemm,btlemme,btlemmo,bylemm,btlemm,bylemmo
lbos,to wear,blbos,mnlbos,btlbos,btlbse,btlbso,byelbos,btlbos,byelbso
le2a,to find,bel2e,mnel2e,btel2e,btel2e,btel2o,byel2e,btel2e,byel2o
le7e2,to follow/catch up,ble7a2,mnle7a2,btle7a2,btle7a2e,btle7a2o,byle7a2,btle7a2,byle7a2o
li3eb,to play,bel3ab,mnel3ab,btel3ab,btel3abe,btel3abo,byel3ab,btel3ab,byel3abo
lta2a,to meet,blte2e,mnlte2e,btlte2e,btlte2e,btlte2o,bylte2e,btlte2e,bylte2o
mala,to fill,bemla,mnemla,btemla,btemle,btemlo,byemla,btemla,byemlo
mana3,to prevent,bemna3,mnemna3,btemna3,btemna3e,btemna3o,byemna3,btemna3,byemna3o
naba3,to spring/gush forth,bemba3,mnemba3,btemba3,btemba3e,btemba3o,byemba3,btemba3,byemba3o
naja7,to succeed,benja7,mnenja7,btenja7,btenja7e,btenja7o,byenja7,btenja7,byenja7o
nisi,to forget,bensa,mnensa,btensa,btense,btenso,byensa,btensa,byenso
rabet,to connect/link,berbot,mnerbot,bterbot,bterbte,bterbto,byerbot,bterbot,byerbto
raye7,to go,brou7,mnrou7,btrou7,btrou7e,btrou7o,byrou7,btrou7,byrou7o
sa7eb,to pull/drag/withdraw,besteb,mnes7ab,btes7ab,btes7abe,btes7abo,byes7ab,btes7ab,byes7abo
sahar,to stay up late,beshar,mneshar,bteshar,bteshare,btesharo,byeshar,bteshar,byesharo
se2al,to ask,bes2al,mnes2al,btes2al,btes2ale,btes2alo,byes2al,btes2al,byes2alo
se3ad,to help,bse3ed,mnse3ed,btse3ed,btse3de,btse3do,byse3ed,btse3ed,byse3do
seer,to happen/become,bseer,mnseer,btseer,btseere,btseero,byseer,btseer,byseero
sefar,to travel,bsefer,mnsefer,btsefer,btsefre,btsefro,bysefer,btsefer,bysefro
seker,to get drunk,beskar,mneskar,bteskar,bteskare,bteskaro,byeskar,bteskar,byeskaro
seme3,to hear/listen,besma3,mnesma3,btesma3,btesma3e,btesma3o,byesma3,btesma3,byesma3o
seme7,to forgive,besma7,mnesma7,btesma7,btesma7e,btesma7o,byesma7,btesma7,byesma7o
shabah,to resemble,bshabeh,mnshabeh,btshabeh,btshabhe,btshabho,byshabeh,btshabeh,byshabho
shaf,to see,bshuf,mnshuf,btshuf,btshufe,btshufo,byshuf,btshuf,byshufo
shammem,to smell,bshammem,mnshammem,btshammem,btshamme,btshammo,byshammem,btshammem,byshammo
shate,to rain,bshatte,mnshatte,btshatte,btshatte,btshatto,byshatte,btshatte,byshatto
shayyak,to check up,bshayyek,mnshayyek,btshayyek,btshayyke,btshayyko,byshayyek,btshayyek,byshayyko
shbe3,to be full,beshba3,mneshba3,bteshba3,bteshb3e,bteshb3o,byeshba3,bteshba3,byeshb3o
sheb,to age,bshib,mnshib,btshib,btshibe,btshibo,byshib,btshib,byshibo
shebeh,to resemble,beshbah,mneshbah,bteshbah,bteshbahe,bteshbaho,byeshbah,bteshbah,byeshbaho
sheer,to indicate/point,bshir,mnshir,btshir,btshire,btshiro,byshir,btshir,byshiro
shehed,to witness,beshhad,mneshhad,bteshhad,bteshhade,bteshhado,byeshhad,bteshhad,byeshhado
sherek,to participate,beshrak,mneshrak,bteshrak,bteshrake,bteshrako,byeshrak,bteshrak,byeshrako
sherib,to drink,beshrab,mneshrab,bteshrab,bteshrabe,bteshrabo,byeshrab,bteshrab,byeshrabo
shtaghal,to work,bashteghel,mneshteghel,bteshteghel,bteshteghle,bteshteghlo,byeshteghel,bteshteghel,byeshteghlo
sta3mal,to use,besta3mel,mnesta3mel,btesta3mel,btesta3mle,btesta3mlo,byesta3mel,btesta3mel,byesta3mlo
sta7a,to be ashamed,besta7e,mnesta7e,btesta7e,btesta7e,btesta7o,byesta7e,btesta7e,byesta7o
staf2ad,to check on someone,bestaf2ed,mnestaf2ed,btestaf2ed,btestaf2de,btestaf2do,byestaf2ed,btestaf2ed,byestaf2do
stasmar,to invest,bestasmer,mnestasmer,btestasmer,btestasmre,btestasmro,byestasmer,btestasmer,byestasmro
t2addam,to propose/advance,bet2addam,mnet2addam,btet2addam,btet2addame,btet2addamo,byet2addam,btet2addam,byet2addamo
t2akhar,to be late,bet2akhar,mnet2akhar,btet2akhar,btet2akhare,btet2akharo,byet2akhar,btet2akhar,byet2akharo
t2assar,to be influenced,bet2assar,mnet2assar,btet2assar,btet2assare,btet2assaro,byet2assar,btet2assar,byet2assaro
t2assas,to be established/founded,bet2assas,mnet2assas,btet2assas,btet2assase,btet2assaso,byet2assas,btet2assas,byet2assaso
t3amal,to be treated/deal with,bet3amal,mnet3amal,btet3amal,btet3amale,btet3amalo,byet3amal,btet3amal,byet3amalo
t3arrad,to be subjected to,bet3arrad,mnet3arrad,btet3arrad,btet3arrade,btet3arrado,byet3arrad,btet3arrad,byet3arrado
t3ashsha,to have dinner,bet3ashsha,mnet3ashsha,btet3ashsha,btet3ashshe,btet3ashsho,byet3ashsha,btet3ashsha,byet3ashsho
t7ammam,to take a shower,bet7ammam,mnet7ammam,btet7ammam,btet7ammame,btet7ammamo,byet7ammam,btet7ammam,byet7ammamo
t7assan,to improve,bet7assan,mnet7assan,btet7assan,btet7assane,btet7assano,byet7assan,btet7assan,byet7assano
t7awwal,to transform/turn into,bet7awwal,mnet7awwal,btet7awwal,btet7awwale,btet7awwalo,byet7awwal,btet7awwal,byet7awwalo
ta3a,come,bije,mnije,btije,btije,btijo,byije,btije,byijo
tabb,to turn over,btebb,mntebb,bttebb,bttebbe,bttebbo,byttebb,bttebb,byttebbo
taffa,to turn off,btaffe,mntaffe,bttaffe,bttaffe,bttaffo,bytaffe,bttaffe,bytaffo
takhdir,to numb/anaesthetize,bkhaddir,mnkhaddir,btkhaddir,btkhaddre,btkhaddro,bykhaddir,btkhaddir,bykhaddro
tal,to be long,btool,mntool,bttool,bttoole,bttoolo,bytool,bttool,bytoolo
tamm,to complete/finish,btimm,mntimm,bttimm,bttimme,bttimmo,bytimm,bttimm,bytimmo
tarak,to leave,btrok,mntrok,btitrok,btitirke,btitirko,byitrok,btitrok,byitirko
tawalla,to take over,btwalla,mntwalla,btitwalla,btitwalle,btitwallo,byitwalla,btitwalla,byitwallo
tayyar,to make fly,btayyer,mntayyer,bttayyer,bttayyre,bttayyro,bytayyer,bttayyer,bytayyro
taza33am,to lead/head,btaza33am,mntaza33am,bttaza33am,bttaza33ame,bttaza33amo,bytaza33am,bttaza33am,bytaza33amo
te7ke,to speak,be7ke,mne7ke,bte7ke,bte7ke,bte7ko,bye7ke,bte7ke,bye7ko
ten2ama3,to be suppressed,ben2ame3,mnen2ame3,bten2ame3,bten2am3e,bten2am3o,byen2ame3,bten2ame3,byen2am3o
terja3,to come back,berja3,mnerja3,bterja3,bterj3e,bterj3o,byerja3,bterja3,byerj3o
tesru2,to steal,besro2,mnesro2,btesro2,btesr2e,btesr2o,byesro2,btesro2,byesr2o
tfawid,to negotiate,btfawed,mntfawed,bttfawed,bttfawde,bttfawdo,bytfawed,bttfawed,bytfawdo
tghadda,to have lunch,btghadda,mntghadda,bttghadda,bttghadde,bttghaddo,bytghadda,bttghadda,bytghaddo
tikhsar,to lose,bekhsar,mnekhsar,btekhsar,btekhsare,btekhsaro,byekhsar,btekhsar,byekhsaro
tili3,to go out,btla3,mntla3,btitla3,btitla3e,btitla3o,byitla3,btitla3,byitla3o
tjannen,to drive crazy,bjannen,mnjannen,btjannen,btjanmne,btjanneno,byjannen,btjannen,byjanneno
tkhabba,to hide,btkhabba,mntkhabba,btitkhabba,btitkhabbe,btitkhabbo,byitkhabba,btitkhabba,byitkhabbo
tkhalles,to finish,bkhalles,mnkhalles,btkhalles,btkhallse,btkhallso,bykhalles,btkhalles,bykhallso
tkhayyal,to imagine,btkhayyal,mntkhayyal,btitkhayyal,btitkhayyale,btitkhayyalo,byitkhayyal,btitkhayyal,byitkhayyalo
tle3,to come out/turn out,btla3,mntla3,btitla3,btitla3e,btitla3o,byitla3,btitla3,byitla3o
tmarran,to practice,btmarran,mntmarran,btitmarran,btitmarrane,btitmarrano,byitmarran,btitmarran,byitmarrano
tnaffas,to breathe,btnaffas,mntnaffas,btitnaffas,btitnaffase,btitnaffaso,byitnaffas,btitnaffas,byitnaffaso
trawwa2,to have breakfast,btrawwa2,mntrawwa2,btitrawwa2,btitrawwa2e,btitrawwa2o,byitrawwa2,btitrawwa2,byitrawwa2o
tru7,to go,brou7,mnrou7,btrou7,btrou7e,btrou7o,byrou7,btrou7,byrou7o
tsakkar,to close,bsakker,mnsakker,btsakker,btsakkre,btsakkro,bysakker,btsakker,bysakkro
tsayyad,to hunt/fish,bsayyed,mnsayyed,btsayyed,btsayyde,btsayydo,bysayyed,btsayyed,bysayydo
tsewe,to be worth/equal,bsewe,mnsewe,btsewe,btsewe,btsewo,bysewe,btsewe,bysewo
ttalla3,to look,bettalla3,mnettalla3,btettalla3,btettall3e,btettall3o,byettalla3,btettalla3,byettall3o
tzakkar,to remember,btzakkar,mntzakkar,btetzakkar,btetzakkare,btetzakkaro,byetzakkar,btetzakkar,byetzakkaro
wa3a,to wake someone up,bwa33e,mnwa33e,btwa33e,btwa33e,btwa33o,bywa33e,btwa33e,bywa33o
wadda,to send,bwadde,mnwadde,btwadde,btwadde,btwaddo,bywadde,btwadde,bywaddo
warda3,to deter,bwarde3,mnwarde3,btwarde3,btward3e,btward3o,bywarde3,btwarde3,byward3o
wassal,to deliver,bwassel,mnwassel,btwassel,btwassle,btwasslo,bywassel,btwassel,bywasslo
wazzaf,to hire,bwazzef,mnwazzef,btwazzef,btwazzfe,btwazzfo,bywazzef,btwazzef,bywazzfo
we2e3,to fall,bo2a3,mno2a3,bto2a3,bto2a3e,bto2a3o,byo2a3,bto2a3,byo2a3o
