arabizi_word,english_translation
badde,I want
baddo,he wants
badile,alternative
badle,suit
badna,we want
badon,they want
baghel,mule
bakeer,early
bakhsheesh,tip
bala,without
balad,country
balkon,balcony
ballash,to start
balwe,calamity/problem
bana,to build
banadura,tomato
bara,outside
barake,blessing
baram,to go around/circle
baraz,to emerge / stand out
bare2,lightning
bari2,innocent
barke,maybe
barnamej,program
barra,outside
barrad,fridge
barrane,external / outside
barrude,gun
bas,but
basal,onion
baseet,simple
bashar,humans
bashra,skin
bass,only/but/when
batal,hero
batariyye,battery
batata,potato
batee2,slow
bateekh,watermelon
batinjen,eggplant
baton,concrete
batta,duck
battal,to stop
bawse,kiss
bay,father
bayanet,data
bayda,egg
bayen,report/declaration
bayn,between
bayt,house
bda3a,"goods, merchandise"
be2der,to be able to
be2e,rest/remainder
be2la2,to worry
be2lewa,baklava
beb,door
bedoon,without
beera,beer
beke,to cry
bel,mind
bele,second-hand
ben,between
beneyeh,building
benzin,gasoline
bered,cold
berken,volcano
bernemej,schedule/program
beser3a,"fast, quickly"
beshe3,ugly
besten,garden/orchard
beton,concrete
beye2,to stay
beyt,house
bhar,pepper
bharat,spices
bi,in
bi khsoos,concerning
bi l-akher,in the end
bi l-awal,first/at the beginning
bi sara7a,honestly
bi sharet enno,provided that
bi wa2et enno,whereas/while
bi2a,environment
bidaye,beginning
bidoon,without
bikhawwef,scary
bil-zabet,exactly
bilden,countries
bina2,building/construction
biniyye,brown
bint,girl
bira,beer
blad,homeland/country
bniye,structure
bo3bo3,boogeyman
booza,ice cream
bru7o,by itself/alone
bsayne,cat
bu3d,distance
bu7ayra,lake
bukra,tomorrow
bunduqiye,rifle
burghul,bulgur
burj,horoscope / zodiac sign
bwej,facing
byekhod,to take
chai,tea
chedde,hardship
cheikh,sheikh
cigara,cigarette
d2i2a,minute
da22,to knock/strike
da2en,beard
da3a,to call for
da3m,support
da3ya,weather/conditions
da77ak,to make laugh
dabaab,fog
dabb,to organize/pack
dabbar,to manage/figure out
dabke,traditional dance
dablaje,dubbing
daf,tambourine
daf3a,boost / push
dafa3,to pay
daftar,notebook
daghet,stress / pressure
dahab,gold
dahabiye,golden
dahan,to smear/paint
daher,back
dahiye,victim
dajje,noise / bustle
dakhal,to enter
dakhan,to smoke
dakheel,intruder/seeking protection
dakhem,massive/huge
dakhili,internal
dal3ouna,traditional melody
daleel,guide
dalil,evidence
dall,to stay/remain
damawi,bloody
damir,conscience
damm,blood
dar,house
daraje,degree/level
darak,police
darb,road/path
darbakke,drum (goblet drum)
daris,student
darrab,to train/practice
dars,lesson
darure,necessary
daw,light
dawa,medicine
dawafi3,motives
dawbal,to overtake (vehicle)
dawkha,dizziness
dawle,"government, state"
dawleeb,wheel
dawr,role
day3a,village
dayf,guest
dayman,always
dayya3,to waste/lose
de77ek,to laugh
de7ke,smile/laugh
debs,molasses
ded,against
deeb,wolf
deek,rooster
deen,religion
deer,gazelle
defa3,to defend
defe,warm
deghre,directly / immediately
dehen,butter/fat
dekene,shop/store
dene,world
deyikh,dizzy
difa3,defense
dikhan,cigarettes
dine,religious
diniye,world/life
diyafe,hospitality
diyyeh,blood money/compensation
djej,chicken
dmegh,brain
do3of,weakening
dod,opposite
dohor,noon
domen,within
doun,without
dukkan,shop
dura,corn
ebn,son
edem,in front
eed,hand
eh,yes
ejtime3,meeting
ekel,to eat
ekhir,last
ekht,sister
ekhtara3,to invent
el-yom,today
elak,for you
elfe,affection
ella iza,unless
elo,to him
elun,their
em,mother
eman,belief
enno,that
enta,you (m)
ente,you (f)
ento,you (pl)
eres,legacy/inheritance
ersh,coin/penny
erte7,to rest/be at ease
esba3,finger
esem,name
esma3,to listen
estez,mister/teacher
etalla3,to look at
etle2a,meeting/gathering
eyyem,days
ezen,permission
fa,so
fa2er,poverty
fa2ir,poor
fa2l,omen / hopeful sign
fa7em,coal
fa7es,exam/test
fada2,space
fade,empty
fadi7a,scandal
fahlawe,sly/clever
faj2a,suddenly
fajer,dawn
fakhame,luxury
fakhme,luxurious
fakhr,pride
fakkar,to think
falastini,Palestinian
fall,to leave
fallah,peasant / farmer
falsafe,philosophy
falsafi,philosophical
fann,art
fannan,artist
fanni,technician
far7a,happiness
fara2,to differ/make a difference
faragh,void / emptiness
faraj,relief
fare2,difference
fare3,branch
fared,odd/single
farja,to show
farod,homework
fasad,corruption
fasaha,eloquence
fasel,chapter / phase
fasil,faction
fassad,to corrupt
fat7a,opening
fatoura,bill/invoice
fatra,period
fattash,to search
fawda,chaos
fawre,instant
fayadan,flood
fayde,benefit
fayy,shade
fe2,to wake up
fe3el,verb
fehim,one who understands
fejel,radish
feker,thought
fekra,idea
fekri,intellectual
ferede,to accept / be content with
ferren,bakery
fersheye,brush
feshel,to fail
feshil,loser/failure
fet,to pass/go by
feter,mushroom
fi,there is/in it
fidda,silver
fik,you can
fina,we can
fini2i,Phoenician
finjen,cup
fistan,dress
fiye,I can
fo2,above
foren,oven
forsa,break
fose7,Easter
frekh,chicks/young birds
frem,brake
fweke,fruit
ghabe,stupid
ghada,lunch
ghadban,angry
ghalat,wrong
ghale,expensive
ghaliban,often
ghamed,mysterious
ghamra,hug
ghane,rich
ghanne,to sing
gharad,purpose
gharam,deep love
gharame,penalty/fine
gharb,west
gharbe,western
gharib,strange/unfamiliar
gharize,instinct
ghasal,to wash
ghasben 3an,against one's will
ghaseel,laundry
ghasool,wash gel
ghassa,heartache/lump in throat
ghata,lid
ghayme,cloud
ghayr,"another, other"
ghayyar,to change
ghaz,gas/stove
ghazel,gazelle
gheb,to disappear
ghenniye,song
ghere2,to drown
ghina,wealth
ghira,jealousy
ghirfe,room
ghiza2,food
ghoroob,sunset
ghrad,stuff/things
ghurbe,exile
ha2,right
ha22a2,to achieve
ha2i2a,truth / true
hadaf,goal / objective
hadame,humor/wit
hadari,civilizational
hadathe,modernity
hadda,to calm
hade,quiet/calm
hadine,cradle
hadir,present
hadis,modern/conversation
hajam,to attack
hajar,stone
hakim,doctor
hal,this
halla2,now
hamed,sour
hamel,carrying
hamm,worry/concern
hamma,to concern / matter
hammal,to hold responsible
hammas,to toast/roast
hana,happiness
hanin,nostalgia
haniyye,compassion
harake,movement
harb,war
harir,silk
hasad,harvest
hasar,to besiege
hawa,air/love
hawas,obsession
hawiyye,ID
hayda,this (m)
haydak,that (m)
hayde,this (f)
haydik,that (f)
haydol,these
hayet,life
hayy,neighborhood
hazzab,to discipline/refine
hdiyye,gift
hek,like this
hemaye,protection
heroub,escape
hijra,emigration
hilw,nice/beautiful
hindbe,chicory/dandelion greens
hinde,Indian
hinne,they
hirfe,craft
hisar,siege
hiwar,dialogue
hiweye,hobby
hiyye,she
hizb,party
hkaye,story/tale
hokem,rule/governance
hole,those
hon,here
honik,there
hub,love
hudou2,calm/quiet
hurr,free
hurriye,freedom
huwwe,he
i2a3,rhythm
i2tisad,economy
i3dam,execution
i3leniyye,advertising
i3tida2,aggression/assault
i3timad,to rely on
i7ses,feeling
i7tilel,occupation
i7tira2,burnout
ibde3,creativity
ibn,son
ibn beyt,well-raised person
ibtikar,innovation
id,hand
idara,administration
iftikhar,pride
ightirab,diaspora/emigration
ightiyal,assassination
ihteram,respect
ihtifel,celebration
ihtimem,care/interest
ija,to come
ijer,leg/foot
ijtima3i,social
ijtiye7,invasion
ikhraj,expulsion/removal
ikhtafa,to disappear
ikhtisas,major/specialization
ikhtisase,specialist
ikhtiyar,choice
ikhwe,brothers
ikteshaf,to find out/discover
ilghe2,abolishing/canceling
ilham,inspiration
illa,minus/except
iltea7a2,to join
imam,imam
imti7an,exam
in3araf,to be known
indala3,to break out
infiteh,openness
inglise,English
inhar,to collapse
inhiyar,collapse
inno,that
insen,human/person
inseniyye,humanity
inta,you (m)
intaj,production
inte,you (f)
intibeh,attention
intideb,mandate
intihak,violation
intima2,belonging
intiqami,vengeful
iqlim,region/district
iqtisadiye,economic
iqtitel,fighting/killing
irade,will
irta7,to rest/be at ease
irtabat,to be linked
irtijel,improvisation
isabe,injury
isem,name
ishi,thing
ishtara,to buy
ishtirak,subscription
ishtirakiye,socialism
isla7,reform
islami,Islamic
ismo,his name
isra2ili,Israeli
issa,story
istalam,to take over/be in charge
isti3mari,colonial
isti3mel,to use
istideme,sustainability
istina3e,artificial
istiqlel,independence
istirad,import
istithmar,investment
istiyqaz,waking up
itisal,call/connection
ittefe2,deal/agreement
iyyem,days
iza,if
izdihar,prosperity
jabal,mountain
jabha,front
jadal,controversy
jadde,serious
jale,dishwashing
jamal,camel
jame3a,community/group
jami3,everyone/all
jami3a,university
jammal,to make beautiful
jana,to harvest/collect
jann,to go crazy
janoub,south
jar,neighbor
jara7,to wound
jaride,newspaper
jarime,crime
jarra,jug
jasade,physical/bodily
jat,bowl
jathoum,sleep paralysis
jawaz safar,passport
jawde,quality
jaweb,answer
jaww,mood/atmosphere
jawz,husband
jaybe,pocket
jaye,next/coming
jaza,penalty/sanction
jazar,carrot
jdid,new
jdoud,grandparents
jeb,to bring
jebne,cheese
jehez,ready
jele2,thick-skinned
jemhouriye,republic
jemle,sentence
jesem,body
jesse,corpse / dead body
jeweb,to answer
jeye,coming
jeyze,prize/reward
jeza,to punish/reward
ji3an,hungry
jibne,cheese
jiddo,grandfather
jil,generation
jiled,skin
jim3a,week/Friday
jimle,sentence/phrase
jinah,wing
jinn,jinn/spirit
jira7a,surgery
jiser,bridge
jnene,garden/park
jnoun,madness
joo3,hunger
joumhour,audience
juhd,effort
juwa,inside
juz2,part
jzour,roots
ka2anno,as if
ka2ed,leader
ka2en,creature/being
ka3eb,heel
ka3ke,kaak (bread ring)
kabas,to press
kabb,to throw
kabbar,to make grow/raise
kabeele,tribe
kabees,pickles
kabrit,matches
kafer,pagan/infidel
kaff,palm
kahraba,electricity
kal,to eat
kaleb,dog
kalem,speech
kalset,socks
kamen,also
kammal,to continue / complete
kamoon,cumin
kan,to be (was)
kanise,church
kanun,law/rule
karam,generosity
karame,dignity
karaz,cherry
karim,generous
karkhana,factory
karmeh,vine
kasar,to break
kashf,revealing/uncovering
katib,writer
kawkab,planet
kawn,universe
kaza,several
kbeer,big/old
keber,to grow/get big
kebeye,glass/cup
kebus,nightmare
kees,bag/sack
kelme,word
kemel,complete/perfect
ken fi marra,once upon a time
kenun awal,December
kenun tene,January
kenz,treasure
kermel,for the sake of
kermel heik,for this reason
kerse,chair
keshek,kishk
keslan,lazy
ketib,writer
kezeb,lie
khabar,news
khabbar,to tell/inform
khabir,expert
khabriye,piece of news
khabta,the hit/the high
khaf,to fear
khaffa,to hide
khafif,light
khal,uncle (maternal)
khalal,glitch / defect
khalas,done/enough
khaleej,gulf
khalf,behind
khalit,mix
khalla2,creative
khalwe,seclusion
khamees,Thursday
khamse,five
khamseen,fifty
khaniq,suffocating
kharaj,to come out / exit
khareef,autumn
khareeta,map
kharije,foreign / external
khasara,loss
khashab,wood
khass,special
khassatan,especially
khata2,mistake
khatar,danger
khateer,dangerous
khatem,ring
khatib,engaged (to marry)
khatibe,fiancée
khatiyye,sin
khawf,fear
khawwaf,scary/to scare
khayal,phantom/imagination
khayef,afraid
khayel,shadow/image
khayy,brother
khayyat,tailor
khebes,wickedness
khebez,bread
khede,to take
kheir,good/goodness
khele2,to be born/create
khelos,to finish/end
kheser,to lose
khetta,plan
khibez,baker
khilel,during
khisran,loser
khisse,testicle
khitab,speech
khiyar,choice
khsousiyye,privacy
khtar,to choose
khudra,vegetables
khurafe,superstition
khutwe,step
khyar,cucumber
khzene,closet
kibbe,kibbeh
kif,how
kifak,how are you
kifkun,how are you (plural)
kil,every/all
kil shi,everything
kil yom,every day
killun,all of them
kimye2e,chemical
kira2a,reading
kireh,to hate
kishk,fermented grain food
kiteb,book
kitra,abundance
kiyan,entity / existence
kizbe,lie
knefe,knafeh
knise,church
kol,to eat
koosa,zucchini
ktab,to write
ktashaf,to find out/discover
kteb,book
ktir,very/a lot
kulliyan,totally
kursi,chair
l7af,blanket
la,to/for
la l-abad,forever
la2,no
la2enno,because
la2me,morsel
la77a2,to follow/catch up
la7ad ma,until
la7alo,by himself
la7me,meat
la7za,moment
laban,yogurt
labes,wearing
labneh,strained yogurt
lahje,dialect
lal asaf,unfortunately
lamm,to collect
lamma,when
lamse,touch
laqab,title / nickname
law,even if
law sama7et,please/if you allow
law7a,painting
layl,night
lazeez,delicious
lbes,underwear/clothing
lbos,to wear
le2a,to find
le2e,to find
le3be,toy
le3ib,player
le7e2,to follow/catch up
lebnen,Lebanon
lebnene,Lebanese
leish,why
leje2,refugee
lek,look (interjection)
lezim,must/need to
li3eb,to play
libnani,Lebanese
lira,lira (currency)
lon,color
lotf,kindness
loum,blame
lsen,tongue/language
lta2a,to meet
lugha,language
lyom,today
m2affal,locked
m3allem,teacher
m3ash,salary
m3assab,angry
m3ayyan,certain/specific
m7ammas,excited
m7annat,mummified
ma,not
ma2bul,acceptable
ma2set,tragedy
ma2too3,cut off
ma3,with
ma32ul,reasonable
ma3bad,temple
ma3de,stomach
ma3had,institute
ma3joo2,crowded
ma3joon,paste
ma3lesh,no problem/never mind
ma3lume,piece of information
ma3mal,factory
ma3moul,filled cookies
ma3mour,lively / prosperous (of a home)
ma3na,meaning
ma3rake,battle
ma3rife,knowledge
ma3tam,restaurant
ma7al,shop/place
ma7foor,engraved
ma7zooz,lucky
mabda2,principle
mabrook,congratulations
mabsoot,happy
madde,subject (school)
madi,past
madine,city
madkhal,entrance
madrase,school
mafi,there isn't
mafroud,should/supposed to
maftoo7,open
maghsalle,laundry/dry cleaners
mahalle,local
mahara,skill
mahatta,phase / station
mahdum,funny/cute
mahjour,abandoned
mahmoom,worried
mahrajan,festival
mahroum,deprived / dispossessed
mahwoos,obsessed
mahzoom,defeated
majalle,magazine
majel,field
majla,counter/sink
majles,"council, gathering"
majmu3a,group
majzara,massacre
makan,place
makhzan,warehouse
maktab,office
maktabe,library/bookstore
maktub,written/destined
mal3ab,stadium/playground
mala,to fill
malal,boredom
malla,what a
malyan,full
malyun,million
mama,mom
mamnu3,forbidden
man2al,brazier / grill
man2ooshe,manoushe (flatbread)
mana3,to prevent
manjam,mine
mankhar,nose
mannak,you are not
mansi,forgotten
mante2,logic
mante2a,area / region
manzar,appearance/view
maqam,musical mode/soul
mar7aba,hello
mar7ale,phase / era
mara,woman
marad,illness/disease
mareed,sick
marhaba,hello
marhale,stage/phase
markaz,center
marra,time/once
marte,my wife
mas2ouliye,responsibility
mas2ul,responsible
masa,evening
masalan,for example
masari,money
masbagha,dye shop
masdar,source/origin
masee7,Christ
masee7iyye,Christian/Christianity
mash3ar,feeling
mashbouh,suspicious
mashghoul,busy
mashhoor,famous
mashkal,problem
mashloul,paralyzed
mashroob,drink
mashrou3,project
mashwe,walk/walking trip
masira,march/procession
masjed,mosque
masloo2,boiled
masloukha,skinned
masna3,factory
masra7,theatre
mastaba,stone bench
mastour,hidden/concealed
mat3am,restaurant
mat7af,museum
mat7oon,ground (crushed)
matal,example
matar,airport
matbakh,kitchen
matfi,extinguished
matra7,place/area
maw2af,parking
maw3ad,appointment
mawaal,vocal improvisation
mawad,materials
mawdou3,topic/subject
mawered,resources
mawjoud,present/available
mawrouth,heritage/folklore
mawsam,season
mawtour,generator
mayl,disposition/tendency
mayle,side/slope
mayy,water
mayyet,dead
maz3ooj,annoyed
mazaj,mood
mazbale,trash heap
mazhar,appearance
mbahhar,spiced/seasoned
mbala,of course/yes
mbasat,happy/pleased
mbayen,appears/seems
mbere7,yesterday
mdabdeb,cloudy
mdammar,destroyed
mdeni,civilian
mdine,city
me2le,fried
me3na,meaning
me7rez,worthwhile
me7wari,pivotal
mebde3,creative
meddakhrat,savings
meen,who
mefte7,key
meghlle,boiled
mehwar,ridge
mekhtelef,different
mele7,salt
melme7,feature
melyene,full
men,from
men fadlak,please
men zamen,long ago
meni3,objection/problem
menna,from us
menno,from him
mertbet,connected
meshkle,problem
meshmush,apricot
meshre2,bright
meshta2,longing/missing
mestalshe2,annoying
met3awen,helpful/cooperative
met3eb,tiring
metel,like/similar to
metghadde,having had lunch
metwafer,available
mez3ej,annoying
mezza,appetizers
mfawadat,negotiations
mghanne,singer
mghayyem,cloudy
mhadda,demolished/falling apart
mhandis,engineer
mhara-hara,ragged/tattered
mhazzab,polite
mhem,important
mi2liyye,fried
mi3ted,usual/used to
mi3wajj,crooked
mi3yar,standard
middayyen,religious
mijana,traditional singing form
mijwiz,double-reed flute
milishiya,militia
milsen,sweet-talker
minshen,because of
minta2a,region
mirte7,at peace/relaxed
mish,not
mishwe,grilled
mistashfa,hospital
miyye,hundred
mjamma3,collected/gathered
mjawwaz,married
mkasel,lazy/unmotivated
mla32a,spoon
mlahhen,composer
mlookhiye,jew's mallow dish
mnasir,supporter
mnawwa3,diverse/varied
mnee7,good
mo2abale,interview
mo2arane,comparison
mo3ahade,treaty
mo3amale,treatment
moda,fashion
mofadal,favorite
mohem,important
mokh,brain
mokhrij,director
momassil,actor
momkin,possibly
mor3eb,terrifying
morr,bitter
mosalsal,TV series
mosammim,designer
mosawat,equality
moshtarak,shared/common
mot,death
motreb,singer
mou2men,believer/believing
moukawwinat,ingredients
moukhaddarat,drugs
moukhatara,risk
mouneh,preserved food stocks
mousi2a,music
mousta2bal,future
moz,banana
mrabba,jam
mrad,desire/wish
mrattab,organized
mraye,mirror
mrteh,comfortable/rested
msa22af,intellectual/cultured
msaytar,in control
msefer,traveling
msewa,fine/okay
msh,not
mshaytan,naughty
msibe,disaster
mta3did,multiple
mtaffi,turned off
mtakher,late
mu2abale,interview
mu2amara,conspiracy
mu2assis,founder
mu2lim,painful
mu3alej,therapist/healer
mu3ane,suffering
mu3ayan,specific/certain
mu7ami,lawyer
mu7bat,frustrated
mubashar,direct
mudafa,added
mudir,boss/manager
mufaddal,favorite
mufakkir,thinker
mufeja2a,surprise
mufid,useful
mughanne,singer
mughtareb,expat/emigrant
muhaddad,specific/defined
mujarrad,merely/just
mujawharat,jewelry
mujrem,criminal
mujtama3,society
mukamara,gambling
mukhayyam,camp
mukhtalif,different
mulakhas,summary
mumarred,nurse
mumasel,actor
mumell,boring
mumken,possible/maybe
munazzama,organization
muqatil,fighter
muqawame,resistance
mur3eb,terrifying
murr,bitter
musalsal,TV series
muse2ale,accountability
muse3ade,help
musema7a,forgiveness
musta2el,independent
mustadime,sustainable
mustana3,artificial/fake
muta2a3ed,retired
muta3atif,empathetic
mutabadel,mutual
mutahammis,excited person
mutaraddid,hesitant person
muthaqqaf,intellectual
muwajaha,confrontation
muwaled,generator
muwasalet,transportation
muwatin,citizen
muwazaf,employee
muzahara,protest/demonstration
muzare3,farmer
mwattar,worried/stressed
mzayyaf,fake
na2i,pure
na3am,yes
na3na3,mint
naba3,spring/water source
nadafe,cleanliness/hygiene
nader,rare
nafas,breath
nafes,same
nafse,psychological/mental
naher,river
naja7,success
nakha,flavor
nakhwa,gallantry/chivalry
namle,ant
naqsh,engraving
nar,fire
nashat,activity
nashit,active
nasib,fate
nasme,breeze
nass,text
naswe,forgetfulness
natije,result/consequence
naw3,type/kind
nay,flute (reed)
naym,asleep/sleeping
nayy,raw
nazariye,theory
nbid,wine
ndif,clean
ne3em,soft
ne7na,we
nede,club
nehaye,end
neji7,successful
nejme,star
nemr,tiger
nes,people
neshif,dry
neswen,women
netfe,a little bit
newe,intending
nhar,day
niha2i,final
nisen,April
nisyan,forgetting
nizam,system
nom,sleep
noss,half
nubugh,genius/brilliance
nuchou2,emergence/rise
nufouz,influence
omme,nation
omniye,wish
ossa,story
qadeem,old/ancient
qal3a,fortress / citadel
qarmid,roof tiles
qarye,village
qaside,poem
qatil,killed person / casualty
qawarma,meat preserved in fat
qawi,strong
qawmi,nationalist
qiime,value
qina3,mask
qiyade,leadership
ra2abe,censorship
ra2ees,president
ra2em,number
ra2i2,thin/flake
ra2me,digital
ra2smeliyye,capitalism
ra2y,opinion
ra3ed,thunder
ra7a,comfort/rest
ra7me,mercy/compassion
ra7ume,compassionate
rabb,Lord
rabe3,fourth
rabee3,spring
rabet,connecting/linking
rabta,"bundle, pack"
rad fi3el,reaction
rade3,deterrence
raf,shelf
rafahye,luxury
raghbe,desire
raghm,despite
ramli,sandy / sandstone
ramz,symbol
ras,head
ras sine,new year
rasmi,official/public
raw3a,amazing
raye7,going
re7a,smell
re7le,trip
rebe3,quarter
rejjel,man
rfi2,friend
rfi2a,friend (female)
ri2ase,leadership / presidency
rif,countryside
rimeye,shooting
risele,message
riwaye,novel
rizek,provision / livelihood
rkhis,cheap
rmede,grey
ro2ya,vision
ro3eb,horror
romane,Roman
rou7,soul
rou7e,spiritual
ruken,cornerstone / pillar
ryada,sport/workout
sa2afe,culture
sa2eel,annoying/heavy
sa2ef,roof
sa3ade,happiness
sa3b,difficult
